pm25,pm10,o3,co,no2,so2
28.0,52.0,4.0,0.85,43.0,2.0
32.0,56.0,4.0,0.87,42.0,2.0
27.0,50.0,4.0,0.91,41.0,2.0
42.0,75.0,4.0,0.85,46.0,3.0
44.0,81.0,5.0,0.75,48.0,3.0
44.0,76.0,15.0,0.55,34.0,2.0
39.0,68.0,20.0,0.47,26.0,4.0
42.0,65.0,18.0,0.44,22.0,6.0
41.0,61.0,7.0,0.55,30.0,7.0
45.0,71.0,4.0,0.6,32.0,6.0
47.0,72.0,4.0,0.77,31.0,5.0
58.0,94.0,5.0,0.86,32.0,5.0
59.0,97.0,10.0,0.83,36.0,5.0
60.0,105.0,19.0,0.72,39.0,5.0
59.0,108.0,30.0,0.605,32.0,4.5
45.0,97.0,41.0,0.49,25.0,4.0
34.0,71.0,52.0,0.44,23.0,2.0
34.0,63.0,58.0,0.33,15.0,2.0
19.0,50.0,55.0,0.28,12.0,1.0
24.0,52.0,54.0,0.29,11.0,1.0
15.0,53.0,37.0,0.41,22.0,1.0
21.0,58.0,20.0,0.51,34.0,1.0
23.0,82.0,8.0,0.63,43.0,1.0
24.0,51.0,4.0,0.83,42.0,1.0
19.0,50.0,4.0,0.77,44.0,1.0
27.0,61.0,12.0,0.83,48.0,1.0
39.0,88.0,23.0,0.69,35.0,1.0
45.0,76.0,7.0,0.77,47.0,1.0
51.0,85.0,4.0,0.87,53.0,1.0
54.0,88.0,4.0,0.87,51.0,1.0
45.0,76.0,5.0,0.85,49.0,2.0
53.0,84.0,4.0,0.98,46.0,2.0
48.0,82.0,3.0,0.97,44.0,2.0
45.0,80.0,4.0,0.98,40.0,1.0
46.0,75.0,4.0,1.12,40.0,1.0
52.0,91.0,4.0,1.13,41.0,2.0
64.0,103.0,6.0,0.94,46.0,3.0
56.0,90.0,22.0,0.725,34.0,2.5
41.0,74.0,39.0,0.51,22.0,2.0
36.0,74.0,56.0,0.41,17.0,2.0
30.0,55.0,59.0,0.37,12.0,1.0
25.0,48.0,61.0,0.36,11.0,1.0
25.0,47.0,48.0,0.29,8.0,1.0
17.0,45.0,43.0,0.3,9.0,1.0
17.0,39.0,34.0,0.31,12.0,1.0
12.0,33.0,30.0,0.37,17.0,1.0
18.0,37.0,18.0,0.5,31.0,1.0
19.0,53.0,7.0,0.68,44.0,1.0
26.0,51.0,4.0,0.89,50.0,1.0
31.0,61.0,4.0,0.83,48.0,1.0
29.0,58.0,4.0,0.88,46.0,1.0
31.0,63.0,6.0,0.64,38.0,1.0
33.0,56.0,10.0,0.53,28.0,1.0
30.0,70.0,7.0,0.58,31.0,1.0
33.0,66.0,8.0,0.6,32.0,1.0
41.0,70.0,5.0,0.66,35.0,1.0
43.0,71.0,8.0,0.56,30.0,1.0
41.0,61.0,7.0,0.48,24.0,1.0
36.0,58.0,6.0,0.5,23.0,1.0
33.0,62.0,8.0,0.49,21.0,1.0
28.0,69.0,15.0,0.41500000000000004,17.0,1.0
22.0,61.0,21.5,0.34,13.0,1.0
23.0,60.0,28.0,0.32,11.0,1.0
18.0,56.0,32.0,0.31,8.0,1.0
16.0,60.0,34.0,0.3,8.0,1.0
15.0,48.0,35.0,0.28,7.0,1.0
11.0,33.0,37.0,0.29,8.0,1.0
12.0,29.0,39.0,0.3,8.0,1.0
12.0,32.0,37.0,0.31,10.0,1.0
9.0,30.0,31.0,0.35,14.0,1.0
11.0,33.0,23.0,0.45,23.0,1.0
14.0,39.0,14.0,0.53,30.0,1.0
21.0,48.0,21.0,0.61,32.0,1.0
24.0,64.0,8.0,0.57,36.0,1.0
28.0,44.0,18.0,0.43,22.0,1.0
13.0,35.0,18.0,0.43,20.0,1.0
21.0,35.0,21.0,0.41,13.0,1.0
17.0,34.0,21.0,0.42,12.0,1.0
